# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 835K of event 'cycles:u'
# Event count (approx.): 518900282875
#
# Overhead  Command  Shared Object                   Symbol                                              
# ........  .......  ..............................  ....................................................
#
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_getn_schar_schar@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_get@plt
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nf_open_
     0.00%  spindec  libnetcdff.so.7.0.0             [.] free@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_findvar
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_get
     0.00%  spindec  libnetcdff.so.7.0.0             [.] __netcdf_nc_interfaces_MOD_addcnullchar
     0.00%  spindec  libnetcdf.so.19                 [.] rewind@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_check_voffs
     0.00%  spindec  mca_pml_ob1.so                  [.] mca_pml_ob1_recv_req_start@plt
     0.00%  spindec  libmpi_mpifh.so.40.30.0         [.] PMPI_Op_f2c@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nctypelen
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_len_NC_attrV
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_dimarrayV@plt
     0.00%  spindec  libc.so.6                       [.] __underflow
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_map@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_szof
     0.00%  spindec  spindec                         [.] __cahn_hilliard_MOD_dq_dx
     0.00%  spindec  libc.so.6                       [.] __open
     0.00%  spindec  libnetcdf.so.19                 [.] nc_get_default_format
     0.00%  mpirun   ld-linux-x86-64.so.2            [.] _dl_mcount
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_attr
     0.00%  spindec  spindec                         [.] malloc@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nclocate
     0.00%  spindec  libevent_pthreads-2.1.so.7.0.1  [.] evthread_posix_lock
     0.00%  spindec  libc.so.6                       [.] _IO_switch_to_get_mode
     0.00%  spindec  libgfortran.so.5.0.0            [.] _gfortran_string_len_trim
     0.00%  mpirun   libopen-rte.so.40.30.2          [.] event_priority_set@plt
     0.00%  spindec  libnetcdf.so.19                 [.] new_x_NC_dim@plt
     0.00%  spindec  mca_pml_ob1.so                  [.] memcpy@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_hashmapget
     0.00%  spindec  spindec                         [.] mpi_sendrecv_@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_check_vlens
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_putn_double_double
     0.00%  spindec  libc.so.6                       [.] _IO_file_read
     0.00%  spindec  libc.so.6                       [.] __libc_realloc
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_px_filesize
     0.00%  spindec  libnetcdf.so.19                 [.] fault_v1hs
     0.00%  spindec  libmpi_mpifh.so.40.30.0         [.] PMPI_Sendrecv@plt
     0.00%  spindec  libnetcdf.so.19                 [.] add_to_NCList
     0.00%  spindec  libnetcdf.so.19                 [.] NC3_open
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_getn_int_int@plt
     0.00%  spindec  libc.so.6                       [.] poll
     0.00%  spindec  libmpi_mpifh.so.40.30.0         [.] PMPI_Recv@plt
     0.00%  spindec  libopen-pal.so.40.30.2          [.] mca_base_var_generate_full_name4
     0.00%  spindec  mca_coll_tuned.so               [.] ompi_coll_tuned_reduce_intra_dec_fixed
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nf_close_
     0.00%  spindec  libopen-pal.so.40.30.2          [.] register_variable
     0.00%  spindec  libnetcdf.so.19                 [.] fileno@plt
     0.00%  spindec  libevent_core-2.1.so.7.0.1      [.] evutil_gettime_monotonic_
     0.00%  spindec  libnetcdf.so.19                 [.] nc_inq_var@plt
     0.00%  spindec  ld-linux-x86-64.so.2            [.] 0x0000000000002368
     0.00%  spindec  libnetcdf.so.19                 [.] NC3_close
     0.00%  spindec  libc.so.6                       [.] _IO_enable_locks
     0.00%  spindec  libnetcdf.so.19                 [.] nc_inq_varid
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_get_off_t@plt
     0.00%  spindec  libc.so.6                       [.] _IO_file_doallocate
     0.00%  spindec  libnetcdf.so.19                 [.] new_x_NC_var
     0.00%  spindec  libc.so.6                       [.] fclose
     0.00%  spindec  libnetcdf.so.19                 [.] NC_check_id@plt
     0.00%  spindec  libnetcdf.so.19                 [.] sysconf@plt
     0.00%  spindec  libhdf5.so.200.2.0              [.] H5P__ocpy_merge_comm_dt_list_close
     0.00%  spindec  libgfortran.so.5.0.0            [.] memcpy@plt
     0.00%  spindec  libnetcdff.so.7.0.0             [.] _gfortran_string_len_trim@plt
     0.00%  spindec  libnetcdf.so.19                 [.] rel_v1hs
     0.00%  spindec  libevent_core-2.1.so.7.0.1      [.] gettime
     0.00%  spindec  libnetcdf.so.19                 [.] NC_hashmapnew
     0.00%  spindec  libnetcdf.so.19                 [.] NC3_inq_var
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_iterate
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_map_custom
     0.00%  spindec  libc.so.6                       [.] rewind
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_len_NC_attrarray
     0.00%  spindec  libnetcdf.so.19                 [.] posixio_open
     0.00%  spindec  spindec                         [.] __grid_MOD_grid_init.constprop.0
     0.00%  spindec  libmpi.so.40.30.3               [.] ompi_sync_wait_mt@plt
     0.00%  spindec  libopen-pal.so.40.30.2          [.] mca_base_var_group_add_var
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_rel
     0.00%  spindec  libmpi.so.40.30.3               [.] pthread_mutex_init@plt
     0.00%  spindec  libc.so.6                       [.] _IO_free_backup_area
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_len_NC
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_vararrayV@plt
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nf_open_@plt
     0.00%  spindec  mca_coll_tuned.so               [.] ompi_coll_base_reduce_intra_binary@plt
     0.00%  spindec  libnetcdf.so.19                 [.] locate.isra.1
     0.00%  spindec  libc.so.6                       [.] _IO_file_underflow
     0.00%  spindec  libc.so.6                       [.] _IO_fread
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nc_inq_varid@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nclistfreeall
     0.00%  spindec  libnetcdf.so.19                 [.] NC_findattr@plt
     0.00%  spindec  libc.so.6                       [.] _IO_fgets
     0.00%  spindec  libopen-pal.so.40.30.2          [.] opal_hash_table_get_value_ptr
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_dimarrayV0@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_filesize@plt
     0.00%  mpirun   libc.so.6                       [.] __default_morecore
     0.00%  spindec  libnetcdf.so.19                 [.] NC_hashmapadd@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncio_rel@plt
     0.00%  spindec  libnetcdf.so.19                 [.] v1h_get_nc_type
     0.00%  spindec  libnetcdf.so.19                 [.] v1h_get_NCtype.constprop.10
     0.00%  spindec  libnetcdf.so.19                 [.] NCcoordck.isra.3.part.4
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_pad_getn_text
     0.00%  spindec  libopen-pal.so.40.30.2          [.] opal_util_keyval_yylex
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_put_size_t
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_getn_void
     0.00%  spindec  libnetcdf.so.19                 [.] new_NC_string
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nf_inq_varid_@plt
     0.00%  spindec  libc.so.6                       [.] _IO_puts
     0.00%  spindec  libnetcdf.so.19                 [.] NC_open@plt
     0.00%  spindec  libnetcdff.so.7.0.0             [.] _gfortran_concat_string@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC3_inq_varid
     0.00%  spindec  libc.so.6                       [.] _IO_file_close_it
     0.00%  spindec  libnetcdf.so.19                 [.] NC_lookupvar@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nclistfree@plt
     0.00%  spindec  libc.so.6                       [.] pthread_self
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nf_put_var1_double_@plt
     0.00%  spindec  libmpi.so.40.30.3               [.] ompi_op_base_2buff_sum_fortran_double_precision
