# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 143K of event 'cycles:u'
# Event count (approx.): 129682211826
#
# Overhead  Command  Shared Object                   Symbol                                              
# ........  .......  ..............................  ....................................................
#
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_dim
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_len_NC_attrarray
     0.00%  spindec  spindec                         [.] __cahn_hilliard_MOD_dm_dy
     0.00%  spindec  libnetcdff.so.7.0.0             [.] free@plt
     0.00%  spindec  spindec                         [.] GOMP_parallel@plt
     0.00%  spindec  libgomp.so.1.0.0                [.] omp_get_thread_num
     0.00%  spindec  libc.so.6                       [.] _IO_fread
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_vararrayV0
     0.00%  spindec  libnetcdf.so.19                 [.] NC3_inq_var
     0.00%  spindec  libnetcdf.so.19                 [.] NC_infermodel@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_howmany@plt
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nf_put_vara_double_
     0.00%  spindec  libnetcdf.so.19                 [.] nc_get_default_format
     0.00%  spindec  mca_coll_self.so                [.] opal_datatype_copy_content_same_ddt@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncuriparse@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncuriparse
     0.00%  spindec  libnetcdf.so.19                 [.] NC_put_vara
     0.00%  spindec  libnetcdf.so.19                 [.] ferror@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_reencode
     0.00%  spindec  libnetcdf.so.19                 [.] NC3_inq_varid
     0.00%  spindec  libnetcdf.so.19                 [.] NCiocount.isra.2
     0.00%  spindec  libc.so.6                       [.] _IO_free_backup_area
     0.00%  spindec  libc.so.6                       [.] getpagesize
     0.00%  spindec  libnetcdf.so.19                 [.] nclocate
     0.00%  spindec  libnetcdf.so.19                 [.] v1h_get_size_t
     0.00%  spindec  libnetcdf.so.19                 [.] write_numrecs@plt
     0.00%  spindec  libnetcdf.so.19                 [.] v1h_get_NC_string
     0.00%  spindec  libnetcdf.so.19                 [.] NC_interpret_magic_number
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_decompose_char@plt
     0.00%  spindec  libc.so.6                       [.] __pthread_mutex_lock
     0.00%  spindec  libopen-pal.so.40.30.2          [.] memcpy@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_varoffset.isra.1
     0.00%  spindec  libnetcdf.so.19                 [.] NC_sync@plt
     0.00%  spindec  spindec                         [.] memset@plt
     0.00%  orted    ld-linux-x86-64.so.2            [.] _dl_rtld_di_serinfo
     0.00%  spindec  ld-linux-x86-64.so.2            [.] _dl_mcount
     0.00%  spindec  libc.so.6                       [.] __pthread_mutex_trylock
     0.00%  spindec  libnetcdf.so.19                 [.] new_x_NC_dim
     0.00%  spindec  libc.so.6                       [.] _IO_file_write
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_attrarrayV@plt
     0.00%  spindec  libnetcdf.so.19                 [.] open64@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nclistnew@plt
     0.00%  spindec  libc.so.6                       [.] __open
     0.00%  spindec  libgfortran.so.5.0.0            [.] _gfortran_shape_4
     0.00%  spindec  libnetcdf.so.19                 [.] clearerr@plt
     0.00%  spindec  spindec                         [.] omp_get_num_threads@plt
     0.00%  spindec  libgomp.so.1.0.0                [.] malloc@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_get_off_t@plt
     0.00%  spindec  libc.so.6                       [.] fileno_unlocked
     0.00%  spindec  libc.so.6                       [.] _IO_link_in
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_get_size_t
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_getn_schar_schar
     0.00%  spindec  libnetcdf.so.19                 [.] nc_get_default_format@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncurifree@plt
     0.00%  spindec  spindec                         [.] __comms_MOD_comms_get_global_f
     0.00%  spindec  libnetcdff.so.7.0.0             [.] __netcdf_MOD_nf90_inq_varid
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_getn_float_float
     0.00%  spindec  libnetcdf.so.19                 [.] new_NC@plt
     0.00%  spindec  libnetcdf.so.19                 [.] NC_check_vlen@plt
     0.00%  spindec  libnetcdf.so.19                 [.] find_in_NCList
     0.00%  spindec  libnetcdf.so.19                 [.] NC_hashmapnew
     0.00%  spindec  libgfortran.so.5.0.0            [.] memcpy@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nc_utf8proc_encode_char@plt
     0.00%  spindec  libnetcdf.so.19                 [.] ncx_getn_int_int
     0.00%  spindec  spindec                         [.] __cahn_hilliard_MOD_dm_dx
     0.00%  spindec  libnetcdf.so.19                 [.] nclistextract@plt
     0.00%  spindec  libc.so.6                       [.] fclose
     0.00%  spindec  libnetcdf.so.19                 [.] readmagic
     0.00%  spindec  libnetcdf.so.19                 [.] new_x_NC_var
     0.00%  spindec  libnetcdff.so.7.0.0             [.] nf_put_var1_double_@plt
     0.00%  spindec  libnetcdf.so.19                 [.] new_x_NC_attr
     0.00%  spindec  libnetcdf.so.19                 [.] free_NC_dimarrayV0@plt
     0.00%  spindec  libnetcdf.so.19                 [.] rewind@plt
     0.00%  spindec  libnetcdf.so.19                 [.] nclistfreeall@plt
     0.00%  spindec  spindec                         [.] __cahn_hilliard_MOD_dq_dy
     0.00%  spindec  libc.so.6                       [.] psiginfo
     0.00%  spindec  libgfortran.so.5.0.0            [.] _gfortran_random_r8
     0.00%  orted    ld-linux-x86-64.so.2            [.] _dl_catch_error
     0.00%  spindec  libgfortran.so.5.0.0            [.] _gfortran_compare_string
